time,location_ec-generator_gesamtwirkleistung,location_ec-gesamt_gesamtwirkleistung,location_ec-prozess_gesamtwirkleistung,location_ec-roboter_gesamtwirkleistung,location_roboter-ausgabe_gesamtwirkleistung,location_roboter-eingabe_gesamtwirkleistung,location_transport-gesamt_gesamtwirkleistung,location_wm1-gesamt_gesamtwirkleistung,location_wm1-heizung-reinigen_gesamtwirkleistung,location_wm1-heizung-trocknung_gesamtwirkleistung,location_wm2-gesamt_gesamtwirkleistung,location_wm2-heizung-reinigen_gesamtwirkleistung,location_wm2-heizung-trocknung_gesamtwirkleistung,location_wm2-vakuumpumpe_gesamtwirkleistung,module_1_errorcode,module_1_errorindex,module_1_state,module_1_station_1_process_1_errorcode_0,module_1_station_2_process_1_errorcode_0,module_1_station_31_process_1_errorcode_0,module_1_station_31_process_1_errorcode_998,module_1_station_3_process_1_errorcode_0,module_1_station_4_process_1_errorcode_0,module_1_station_5_process_1_errorcode_0,module_1_station_6_process_1_errorcode_0,module_2_errorcode,module_2_errorindex,module_2_state,module_2_station_1_process_1_errorcode_0,module_2_station_21_process_1_errorcode_999,module_2_station_22_process_1_errorcode_0,module_2_station_24_process_1_errorcode_0,module_2_station_25_process_1_errorcode_51,module_2_station_25_process_1_errorcode_55,module_2_station_28_process_1_errorcode_51,module_2_station_28_process_1_errorcode_55,module_2_station_28_process_1_errorcode_980,module_2_station_3_process_1_errorcode_0,module_2_station_3_process_1_errorcode_998,module_2_station_4_process_1_errorcode_0,module_2_station_4_process_1_errorcode_998,module_2_station_50_process_1_errorcode_0,module_2_station_51_process_1_errorcode_0,module_2_station_51_process_1_errorcode_51,module_2_station_51_process_1_errorcode_55,module_2_station_5_process_1_errorcode_0,module_2_station_5_process_1_errorcode_998,module_2_station_6_process_1_errorcode_0,module_2_station_6_process_1_errorcode_998,module_4_errorcode,module_4_errorindex,module_4_state,module_5_errorcode,module_5_errorindex,module_5_state,module_6_errorcode,module_6_errorindex,module_6_state
2021-02-01T05:00:00.000Z,,4454.38330078125,,,,,,,,,24993.80078125,7296.2548828125,,5474.810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:00.179Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2021-02-01T05:00:01.683Z,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:03.000Z,2288.97509765625,,3371.790283203125,565.246826171875,677.0043334960938,346.1505432128906,1623.156005859375,9475.205078125,2394.84033203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:03.220Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:03.280Z,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:05.000Z,,3698.097412109375,,,,,,,,,24916.703125,7292.94140625,,5473.2265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:05.025Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-02-01T05:00:05.330Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2021-02-01T05:00:06.611Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2021-02-01T05:00:07.201Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
